time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-14T14:19:12.535Z,47.1434,-70.6889,11.97,2.6,ml,,83,0.474,0.11,us,us7000ed48,2021-08-26T21:59:19.040Z,"St. Lawrence Valley region, Quebec, Canada",earthquake,2.4,8.8,0.148,6,reviewed,us,us
2021-05-17T11:03:22.854Z,45.8075,-73.5278,12.09,3.3,mb_lg,,95,0.314,0.49,us,us7000e3rp,2023-10-15T05:01:58.062Z,"5 km SW of L'Épiphanie, Canada",earthquake,1.6,6.5,0.062,67,reviewed,us,us
2021-04-14T03:05:42.708Z,47.5646,-70.2347,11.87,2.5,ml,,103,0.063,0.18,us,us6000e1pz,2021-06-19T21:25:40.040Z,"11 km SSW of La Malbaie, Canada",earthquake,3.6,4.3,0.077,22,reviewed,us,us
2021-03-14T00:50:03.829Z,44.9518,-75.5209,10.13,2.7,mb_lg,,54,0.181,0.48,us,us7000dj6w,2021-05-26T22:06:55.040Z,"19 km SW of Winchester, Canada",earthquake,2.6,8.2,0.147,12,reviewed,us,us
2021-01-17T18:37:41.934Z,44.6871,-67.6285,5,2.9,mb_lg,,165,0.123,0.38,us,us7000d0y1,2022-08-11T12:11:08.978Z,"4 km ESE of Centerville, Maine",earthquake,1.8,2,0.295,3,reviewed,us,us
2020-12-09T12:31:16.046Z,45.0951,-67.1595,7.72,3,ml,,110,0.226,0.2,us,us7000cpfi,2021-02-20T16:10:55.040Z,"4 km WNW of Robbinston, Maine",earthquake,1.4,7.9,0.064,32,reviewed,us,us
2020-11-08T14:10:06.958Z,41.5208,-70.9546,10,3.6,mwr,,162,0.234,0.72,us,us7000cc4d,2023-11-21T18:59:05.321Z,"10 km S of Bliss Corner, Massachusetts",earthquake,2,1.9,0.05,38,reviewed,us,us
2020-09-09T06:00:13.553Z,40.3023,-74.2892,5.61,3.1,mb_lg,,146,0.434,0.53,us,us7000bk7f,2022-06-20T15:35:24.405Z,"3 km WSW of Marlboro, New Jersey",earthquake,2,1.5,0.052,96,reviewed,us,us
2020-05-09T19:04:19.037Z,47.0127,-75.8523,15.64,3.6,mwr,,102,1.198,0.5,us,us70009dfq,2023-10-15T05:01:15.996Z,"46 km NW of Ferme-Neuve, Canada",earthquake,5,3.4,0.086,13,reviewed,us,us
2020-05-06T15:03:41.193Z,45.0596,-72.8946,14.1,3.1,mb_lg,,100,0.541,0.65,us,us70009b45,2020-07-29T22:14:10.040Z,"9 km SE of Bedford, Canada",earthquake,1.8,8,0.077,44,reviewed,us,us
2020-04-29T18:43:12.127Z,47.2328,-70.3137,14.52,2.5,ml,,127,0.315,0.48,us,us700097d9,2020-07-18T21:57:05.040Z,"3 km WNW of St-Jean-Port-Joli, Canada",earthquake,2.6,6.9,0.128,8,reviewed,us,us
2020-04-01T16:47:39.468Z,47.4531,-79.2714,10,2.9,ml,,159,1.259,0.18,us,us70008le8,2020-06-21T00:54:33.040Z,"3 km NE of Saint-Isidore, Canada",earthquake,3.6,2,0.064,32,reviewed,us,us
2020-03-29T17:04:46.557Z,43.4249,-78.3629,5,2.6,mb_lg,,115,0.268,0.39,us,us70008icf,2020-06-13T18:44:44.040Z,"11 km N of Lyndonville, New York",earthquake,2,1.9,0.208,6,reviewed,us,us
2020-03-29T07:21:04.745Z,45.8485,-73.528,10.51,3,mb_lg,,85,0.354,0.42,us,us70008i6u,2020-06-13T18:44:39.040Z,"3 km W of L'Épiphanie, Canada",earthquake,3.7,8.6,0.07,53,reviewed,us,us
2020-03-11T10:43:39.657Z,43.2925,-73.6371,12.55,3.1,mb_lg,,51,0.094,0.32,us,us60008dlh,2021-03-02T19:11:41.452Z,"0 km SSW of South Glens Falls, New York",earthquake,2.1,4.3,0.058,78,reviewed,us,us
2020-03-09T18:57:15.778Z,43.2839,-69.8363,11.52,2.7,mb_lg,,150,0.937,0.24,us,us60008cmq,2021-08-06T03:39:02.156Z,"50 km ESE of Old Orchard Beach, Maine",earthquake,1.7,7.8,0.128,16,reviewed,us,us
2020-03-06T08:22:16.586Z,45.6077,-73.5634,9.88,2.7,mb_lg,,147,0.115,0.65,us,us60008awg,2021-05-17T11:26:28.225Z,"3 km NE of Saint-Léonard, Canada",earthquake,2.3,1.8,0.124,17,reviewed,us,us
2020-02-07T10:41:44.212Z,46.3509,-75.1225,12.07,2.5,ml,,101,0.418,0.41,us,us70007ksi,2020-04-25T22:18:26.040Z,"18 km NW of La Minerve, Canada",earthquake,3.6,3.1,0.077,22,reviewed,us,us
2020-02-02T20:06:40.226Z,46.473,-76.1153,15.37,2.7,mb_lg,,96,1.113,0.4,us,us60007mwm,2020-04-18T22:10:17.040Z,"10 km WSW of Saint-Boniface, Canada",earthquake,4,7.9,0.18,8,reviewed,us,us
2020-01-13T10:37:59.295Z,44.993,-73.9659,6.41,3.4,mb_lg,,71,0.562,0.28,us,us70006z44,2023-09-11T08:11:41.394Z,"5 km SW of Franklin, Canada",earthquake,1.4,3.4,0.062,67,reviewed,us,us
